question_id;order;section;question_type;good_answer;name_fr;question_fr;example_fr;suggestion_fr;name_en;question_en;example_en;suggestion_en
1;;start;boolean;1;Preuve de cadrage;Avez-vous gardé un écrit cadrant le projet de l’IA, ayant comme information à minima qui, quoi, pourquoi, comment et quand ?;;Compléter un document cadrant le sujet comme dans l'onglet Preuve de cadrage.;Proof of framing;Have you kept a written record of the AI project, having as a minimum information who, what, why, how and when?;;Complete a document framing the subject as in the Proof of Framing tab.
2;;start;boolean;1;Participation des parties prenantes;Est-ce qu’au moins, un.e commanditaire, un.e développeur.se et un.e utilisateur.rice final.e ont pu participer au cadrage et à la validation du modèle ?;;Inclure les différents acteurs;Stakeholder participation;Were at least one sponsor, one developer and one end user involved in the framing and validation of the model?;;Include the different actors
3;;start;boolean;;Incidence sociale;Est-ce que le modèle peut avoir une incidence sociale sur un utilisateur ?;Risque de perte d’emploi, refus de prêt bancaire;Si vous identifiez une incidence sociale, lors de la validation veuillez effectuer une analyse des biais.;Social impact;Can the model have a social impact on a user?;Risk of job loss, refusal of a bank loan;If you identify a social impact, please perform a bias analysis during validation.
4;1;start;boolean;1;Vie privée et protections des données;Avez-vous réfléchi à des manières de mettre au point le système d’IA ou d’entraîner le modèle sans utiliser (ou en utilisant de manière limitée) des données potentiellement sensibles ou à caractère personnel ?;;Si l'entraînement du modèle n'a pas eu lieu, comparer les performances du modèle avec et sens les données sensibles.;Privacy and data protection;Have you considered ways to develop the AI system or train the model without (or with limited use of) potentially sensitive or personal data?;;If model training did not take place, compare the model performance with and sense sensitive data.
4;2;start;boolean_plus_one;1;Vie privée et protections des données;Lorsqu’il existe un responsable de la protection des données, avez-vous mobilisé cette personne à un stade précoce dans le processus ?;;Présenter l'IA au responsable de la protection des données.;Privacy and data protection;Where there is a data protection officer, have you engaged this person at an early stage in the process?;;Present the AI to the Data Protection Officer.
5;;start;boolean;1;Justification;Est-ce que la justification de l’IA a été validé par un acteur tiers ayant une autorité sur la protection des données (DPO en Union Européenne) ? S’il n’y a pas d’équivalent, est-ce que l’IA est bénéfique pour l’utilisateur final ?;;Présenter l’IA et sa justification à un acteur tiers.;Justification;Has the justification for AI been validated by a third party actor with a data protection authority (DPO in the European Union)? If there is no equivalent, is AI beneficial to the end user?;;Present the AI and its justification to a third party actor.
6;1;validation;numeric;;Durable, respect de l’environnement;Combien de temps (cumulé si plusieurs entraînements) a duré l’entraînement du modèle ?;;;Sustainable, respect for the environment;How long (cumulated if several trainings) has the model been trained for?;;
6;2;validation;list;;Durable, respect de l’environnement;Dans quel pays est situé le serveur servant à entraîner le modèle ?;;;Sustainable, respect for the environment;In which country is the server used to train the model located?;;
6;3;validation;numeric;;Durable, respect de l’environnement;En utilisant le module de l'évaluation CO2 ou le site ML CO2 Impact, pouvez-vous indiquer la quantité de CO2 émise ?;;https://mlco2.github.io/impact/#act;Sustainable, respect for the environment;Using the CO2 Evaluation module or the ML CO2 Impact site, can you indicate the amount of CO2 emitted?;;https://mlco2.github.io/impact/#act
7;1;validation;boolean;1;Qualité et intégrité;Avez-vous mis en place des processus pour garantir la qualité et l’intégrité de vos données au sein du projet ?;Des indicateurs de fiabilité des données, une phase de validation des données avec des experts métiers.;;Quality and integrity;Do you have processes in place to ensure the quality and integrity of your data within the project?;Data reliability indicators, a data validation phase with business experts.;
7;2;validation;boolean;1;Qualité et intégrité;Avez-vous réalisé une phase d’analyse des données ?;;"Utilisation du module ""Analyse du Dataset"" pour analyser les particularité des données.";Quality and integrity;Have you carried out a data analysis phase?;;"Use of the ""Dataset Analysis"" module to analyse the particularities of the data."
8;1;validation;boolean;1;Validation des performances;Est-ce que les critères de validation ont été déterminés par les commanditaires ?;;;Performance validation;Have the validation criteria been determined by the sponsors?;;
